Make, Year, Average Price, Mean Price, StdDev Price, Combined Price, Count
Kawasaki, 2019, 9133.00, 9133.00, 8700.00, 8988.67, 3
Kawasaki, 2020, 10048.43, 9920.00, 9920.00, 9962.81, 7
Kawasaki, 2022, 12316.50, 12374.75, 12374.75, 12355.33, 6
Kawasaki, 2023, 13900.00, 13900.00, 13900.00, 13900.00, 1
KSR, 2018, 3100.00, 3100.00, 3100.00, 3100.00, 1
Ktm, 2006, 5380.00, 4900.00, 4800.00, 5026.67, 5
Ktm, 2007, 5653.20, 5533.33, 5033.33, 5406.62, 5
Ktm, 2008, 5750.00, 5750.00, 5750.00, 5750.00, 2
Ktm, 2009, 5680.00, 5600.00, 5600.00, 5626.67, 5
Ktm, 2011, 6631.25, 6508.33, 6508.33, 6549.31, 8
Ktm, 2012, 6425.00, 6425.00, 6600.00, 6483.33, 4
Ktm, 2013, 6966.67, 6975.00, 6975.00, 6972.22, 6
Ktm, 2014, 7396.00, 7024.83, 6983.22, 7134.69, 10
Ktm, 2015, 7616.17, 7524.50, 7524.50, 7555.06, 6
Ktm, 2016, 8424.75, 8424.75, 8066.33, 8305.28, 4
Ktm, 2017, 9229.90, 9049.83, 9037.38, 9105.70, 10
Ktm, 2018, 9973.50, 9849.83, 9239.80, 9687.71, 8
Ktm, 2019, 10280.00, 10070.00, 9395.00, 9915.00, 6
Ktm, 2020, 10919.90, 11183.33, 11137.38, 11080.20, 10
Ktm, 2021, 11116.33, 11174.50, 11174.50, 11155.11, 6
Ktm, 2022, 12967.50, 12967.50, 12850.00, 12928.33, 4
Ktm, 2023, 12299.00, 12299.00, 12299.00, 12299.00, 2
Rieju, 2013, 4900.00, 4900.00, 4900.00, 4900.00, 1
Suzuki, 2006, 4900.00, 4900.00, 4900.00, 4900.00, 4
Suzuki, 2007, 4549.50, 4549.50, 4549.50, 4549.50, 2
Suzuki, 2008, 5050.00, 5050.00, 5050.00, 5050.00, 2
Suzuki, 2009, 4800.00, 4800.00, 4800.00, 4800.00, 1
Suzuki, 2010, 6033.00, 6033.00, 6200.00, 6088.67, 3
Suzuki, 2011, 5750.00, 5750.00, 5750.00, 5750.00, 2
Suzuki, 2012, 6266.33, 6266.33, 6300.00, 6277.56, 3
Suzuki, 2013, 4800.00, 4800.00, 4800.00, 4800.00, 1
Suzuki, 2014, 5700.00, 5700.00, 5700.00, 5700.00, 2
Suzuki, 2015, 6600.00, 6600.00, 6600.00, 6600.00, 2
Suzuki, 2016, 6733.00, 6733.00, 6999.00, 6821.67, 3
Suzuki, 2017, 7000.00, 7000.00, 7000.00, 7000.00, 1
Suzuki, 2018, 8975.00, 8975.00, 9433.33, 9127.78, 4
Suzuki, 2020, 9099.50, 9099.50, 9099.50, 9099.50, 2
Suzuki, 2021, 9500.00, 9500.00, 9500.00, 9500.00, 1
Yamaha, 2008, 4774.75, 4774.75, 5033.00, 4860.83, 4
Yamaha, 2009, 6140.00, 5866.67, 5866.67, 5957.78, 5
Yamaha, 2010, 5650.00, 5650.00, 5650.00, 5650.00, 2
Yamaha, 2011, 5839.80, 5799.67, 5533.33, 5724.27, 5
Yamaha, 2012, 6733.00, 6733.00, 6499.00, 6655.00, 3
Yamaha, 2013, 5850.00, 5850.00, 6100.00, 5933.33, 4
Yamaha, 2015, 6650.00, 6650.00, 6650.00, 6650.00, 2
Yamaha, 2016, 6624.75, 6624.75, 6799.50, 6683.00, 4
Yamaha, 2017, 7900.00, 7916.67, 7904.55, 7907.07, 13
Yamaha, 2018, 8900.00, 8800.00, 8800.00, 8833.33, 5
Yamaha, 2019, 10044.90, 9708.17, 9578.43, 9777.17, 10
Yamaha, 2020, 10100.00, 10100.00, 10633.33, 10277.78, 4
Yamaha, 2021, 10949.50, 10949.50, 10949.50, 10949.50, 2
Yamaha, 2022, 12200.00, 12200.00, 12200.00, 12200.00, 1
Yamaha, 2023, 17699.50, 17699.50, 17699.50, 17699.50, 2
