4.2.2024 г. 21:40:21
Make, Year, CC, Price Sold, Avg Market Price, Date Listed, Date Sold
Suzuki, 2006, N/A, 4900, 4775, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2006, 250, 3900, 4775, 19.1.2024 г., 22.1.2024 г.
Suzuki, 2006, 450, 4600, 4775, 10.1.2024 г., 1.2.2024 г.
Suzuki, 2006, 450, 4300, 4775, 14.1.2024 г., 1.2.2024 г.
Suzuki, 2007, N/A, 5350, 4675, 10.1.2024 г., 29.1.2024 г.
Suzuki, 2007, N/A, 4999, 4675, 29.1.2024 г., 1.2.2024 г.
Suzuki, 2008, 250, 4850, 4900, 10.1.2024 г., 23.1.2024 г.
Suzuki, 2008, N/A, 5300, 4900, 10.1.2024 г., 24.1.2024 г.
Suzuki, 2009, 450, 4700, 5000, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2010, N/A, 6300, 6200, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2012, 450, 7400, 6417, 10.1.2024 г., 11.1.2024 г.
Suzuki, 2012, N/A, 6500, 6417, 10.1.2024 г., 1.2.2024 г.
Suzuki, 2013, N/A, 4400, 5350, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2013, N/A, 6500, 5350, 10.1.2024 г., 15.1.2024 г.
Suzuki, 2014, 450, 5900, 6650, 10.1.2024 г., 30.1.2024 г.
Suzuki, 2016, 250, 5300, 4999, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2016, N/A, 6699, 4999, 10.1.2024 г., 19.1.2024 г.
Suzuki, 2016, N/A, 7200, 4999, 10.1.2024 г., 27.1.2024 г.
Suzuki, 2016, N/A, 7200, 4999, 3.2.2024 г., 4.2.2024 г.
Suzuki, 2018, N/A, 6800, 8887, 10.1.2024 г., 14.1.2024 г.
Suzuki, 2021, N/A, 9500, 9200, 10.1.2024 г., 13.1.2024 г.
Yamaha, 2007, N/A, 5000, 5000, 10.1.2024 г., 20.1.2024 г.
Yamaha, 2008, N/A, 7200, 5433, 10.1.2024 г., 12.1.2024 г.
Yamaha, 2008, 450, 5200, 5433, 10.1.2024 г., 18.1.2024 г.
Yamaha, 2008, 450, 5300, 5433, 17.1.2024 г., 18.1.2024 г.
Yamaha, 2008, 450, 5100, 5433, 10.1.2024 г., 21.1.2024 г.
Yamaha, 2008, 250, 4300, 5433, 3.2.2024 г., 4.2.2024 г.
Yamaha, 2009, 450, 5199, 5450, 10.1.2024 г., 16.1.2024 г.
Yamaha, 2009, 450, 5600, 5450, 10.1.2024 г., 22.1.2024 г.
Yamaha, 2012, 450, 6499, 6500, 10.1.2024 г., 28.1.2024 г.
Yamaha, 2013, 450, 6500, 6200, 10.1.2024 г., 21.1.2024 г.
Yamaha, 2013, N/A, 6000, 6200, 10.1.2024 г., 1.2.2024 г.
Yamaha, 2013, 450, 5999, 6200, 3.2.2024 г., 4.2.2024 г.
Yamaha, 2015, N/A, 5999, 6999, 10.1.2024 г., 17.1.2024 г.
Yamaha, 2015, N/A, 7299, 6999, 10.1.2024 г., 28.1.2024 г.
Yamaha, 2015, N/A, 5999, 6999, 17.1.2024 г., 31.1.2024 г.
Yamaha, 2016, 201, 6600, 7433, 10.1.2024 г., 11.1.2024 г.
Yamaha, 2016, N/A, 7000, 7433, 10.1.2024 г., 19.1.2024 г.
Yamaha, 2016, 450, 8700, 7433, 18.1.2024 г., 20.1.2024 г.
Yamaha, 2016, 450, 7400, 7433, 10.1.2024 г., 23.1.2024 г.
Yamaha, 2016, 125, 6000, 7433, 10.1.2024 г., 28.1.2024 г.
Yamaha, 2016, 450, 7600, 7433, 10.1.2024 г., 31.1.2024 г.
Yamaha, 2017, 200, 7499, 8220, 10.1.2024 г., 11.1.2024 г.
Yamaha, 2017, N/A, 7300, 8220, 10.1.2024 г., 14.1.2024 г.
Yamaha, 2017, N/A, 9500, 8220, 10.1.2024 г., 18.1.2024 г.
Yamaha, 2017, N/A, 7500, 8220, 16.1.2024 г., 21.1.2024 г.
Yamaha, 2018, 450, 6999, 10920, 10.1.2024 г., 15.1.2024 г.
Yamaha, 2018, N/A, 7500, 10920, 16.1.2024 г., 16.1.2024 г.
Yamaha, 2019, 250, 10500, 10225, 10.1.2024 г., 19.1.2024 г.
Yamaha, 2019, 450, 9800, 10225, 10.1.2024 г., 26.1.2024 г.
Yamaha, 2019, N/A, 9800, 10225, 10.1.2024 г., 28.1.2024 г.
Yamaha, 2019, 250, 8300, 10225, 10.1.2024 г., 31.1.2024 г.
Yamaha, 2019, 450, 9500, 10225, 3.2.2024 г., 4.2.2024 г.
Yamaha, 2020, 450, 10890, 10000, 10.1.2024 г., 19.1.2024 г.
Yamaha, 2020, 450, 8500, 10000, 10.1.2024 г., 31.1.2024 г.
Yamaha, 2023, 450, 14500, 14500, 24.1.2024 г., 29.1.2024 г.
The average price for all sold entries is: 7122.48
The average year for all sold entries is: 2014
250cc: 25 out of 96. Ratio of 26.04%
350cc: 8 out of 96. Ratio of 8.33%
450cc: 63 out of 96. Ratio of 65.62%
A total of 3 GASGAS sold!
A total of 45 Honda sold!
A total of 7 Husqvarna sold!
A total of 18 Kawasaki sold!
A total of 33 Ktm sold!
A total of 21 Suzuki sold!
A total of 35 Yamaha sold!
On 11.1.2024 г., 6 motorcycles were sold.
On 12.1.2024 г., 5 motorcycles were sold.
On 13.1.2024 г., 4 motorcycles were sold.
On 14.1.2024 г., 11 motorcycles were sold.
On 15.1.2024 г., 5 motorcycles were sold.
On 16.1.2024 г., 7 motorcycles were sold.
On 17.1.2024 г., 8 motorcycles were sold.
On 18.1.2024 г., 8 motorcycles were sold.
On 19.1.2024 г., 9 motorcycles were sold.
On 20.1.2024 г., 6 motorcycles were sold.
On 21.1.2024 г., 7 motorcycles were sold.
On 22.1.2024 г., 3 motorcycles were sold.
On 23.1.2024 г., 5 motorcycles were sold.
On 24.1.2024 г., 4 motorcycles were sold.
On 25.1.2024 г., 9 motorcycles were sold.
On 26.1.2024 г., 2 motorcycles were sold.
On 27.1.2024 г., 9 motorcycles were sold.
On 28.1.2024 г., 12 motorcycles were sold.
On 29.1.2024 г., 5 motorcycles were sold.
On 30.1.2024 г., 5 motorcycles were sold.
On 31.1.2024 г., 12 motorcycles were sold.
On 1.2.2024 г., 10 motorcycles were sold.
On 4.2.2024 г., 10 motorcycles were sold.
The average motorcycles sold per day is: 7.0
